SIMFIT RESULTS
==============

Dataset : C:/Users/bee-b/Desktop/LAB02/CH971_Week_2/CH971_Week_2/NMR/10/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

30 points for Peak 1

Converged after 5218 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =    5.703e+01    -5.588e+01  
T     =      17.103s       17.279s  

RSS   =    1.387e-02
SD    =    2.150e-02

Point       Tau          Expt          Calc       Difference

    1       1.000s     1.000e+00     1.052e+00    5.217e-02
    2       2.000s     9.447e-01     9.628e-01    1.812e-02
    3       3.000s     8.860e-01     8.802e-01   -5.853e-03
    4       4.000s     8.253e-01     8.038e-01   -2.151e-02
    5       5.000s     7.633e-01     7.333e-01   -3.000e-02
    6       6.000s     7.007e-01     6.681e-01   -3.254e-02
    7       7.000s     6.385e-01     6.080e-01   -3.054e-02
    8       8.000s     5.778e-01     5.525e-01   -2.523e-02
    9       9.000s     5.191e-01     5.014e-01   -1.765e-02
   10      10.000s     4.634e-01     4.543e-01   -9.078e-03
   11      11.000s     4.116e-01     4.109e-01   -7.420e-04
   12      12.000s     3.642e-01     3.710e-01    6.808e-03
   13      13.000s     3.210e-01     3.342e-01    1.322e-02
   14      14.000s     2.822e-01     3.005e-01    1.825e-02
   15      15.000s     2.476e-01     2.694e-01    2.183e-02
   16      16.000s     2.169e-01     2.410e-01    2.403e-02
   17      17.000s     1.900e-01     2.149e-01    2.484e-02
   18      18.000s     1.667e-01     1.909e-01    2.421e-02
   19      19.000s     1.467e-01     1.690e-01    2.228e-02
   20      20.000s     1.298e-01     1.490e-01    1.915e-02
   21      21.000s     1.156e-01     1.306e-01    1.501e-02
   22      22.000s     1.038e-01     1.139e-01    1.006e-02
   23      23.000s     9.400e-02     9.865e-02    4.655e-03
   24      24.000s     8.565e-02     8.476e-02   -8.891e-04
   25      25.000s     7.852e-02     7.212e-02   -6.401e-03
   26      26.000s     7.231e-02     6.064e-02   -1.167e-02
   27      27.000s     6.682e-02     5.023e-02   -1.659e-02
   28      28.000s     6.191e-02     4.080e-02   -2.111e-02
   29      29.000s     5.752e-02     3.228e-02   -2.525e-02
   30      30.000s     5.354e-02     2.458e-02   -2.896e-02

============================================================

